part_of_speech,text,text_hindi,text_romanized
noun,cat,बिल्ली,billi
noun,cow,गाय,gaay
noun,dog,कुत्ता,kuttaa
noun,fish,मछली,machali
noun,horse,घोड़ा,goda
noun,monkey,बंदर,bandar
noun,pig,सुअर,sushar
noun,sheep,भेड़,mend
noun,art,कला,kalaa
noun,book,पुस्तक,pustak
noun,dictionary,शब्दकोश,shabdakosh
noun,geography,भूगोल,bhugol
noun,history,इतिहास,itihaas
noun,math,गणित,ganit
noun,music,संगीत,sangeet
noun,science,विज्ञान,dijaan
noun,tree,पेड़,ped
noun,food,भोजन,bhojan
noun,father,पिता,pita
noun,son,बेटा,betaa
noun,teacher,शिक्षक,shishak
noun,uncle,चाचा,chacha
noun,wife,पत्नी,patni
adjective,angry,गुस्सा,gussa
adjective,bad,बुरा,bura
adjective,beautiful,सुंदर,sundar
adjective,cheap,सस्ता,sasta
adjective,clean,साफ़,saaf
adjective,cold,शीतल,shital
adjective,different,अलग,alan
adjective,early,जल्दी,jaldi
adjective,easy,सरल,saral
verb,to do,करने के लिए,karane ke liye
verb,to dream,सपना करने के लिए,sapana karane ke liye
phrase,by bicycle,साइकिल से,saaiyikil se
phrase,by bus,बस से,bus se
phrase,by car,कार द्वारा,car dvaara
phrase,by train,ट्रेन द्वारा,tren dvaara
adjective,black,काला,kaalaa
adjective,blue,नीला,neelaa
adjective,brown,भूरा,booRaa
adjective,gray,स्लेटी,sleytee
adjective,green,हरा,haRaa
adjective,orange,संतरी,santRee
adjective,purple,जामुनी,jaamnee
adjective,red,लाल,laal
adjective,white,सफ़ेद,safeyd
adjective,yellow,पीला,peelaa
adjective,big,बड़ा,baRaa
adjective,deep,गहरा,geheRaa
adjective,long,लंबा,lambaa
adjective,narrow,पतला,patlaa
adjective,short (in height),छोटा [कद मे],chotaa (kad mey)
adjective,short (in length),छोटा [लंम्बाई मे],chotaa (lambaaee mey)
adjective,small, little,छोटा,chotaa
adjective,tall,लंबा,oochaa
adjective,thick,मोटा,motaa
adjective,thin,पतला,patlaa
adjective,round,गोल,gol
adjective,straight,सीधा,seedaa
adjective,square,समकोण,smakon
adjective,triangular,त्रिभुजाकार/त्रिकोण,tReebooj aakaaR / tReekorn
adjective,bitter,कड़वा,kaRvaa
adjective,fresh,ताज़ा,taaza
adjective,salty,नमकीन,namkeen
adjective,sour,खट्टा,kataa
adjective,spicy,मिर्च वाला,miRch vaalaa
adjective,sweet,मीठा,meetaa
adjective,bad,बुरा,booRaa
adjective,clean,साफ़,saaf
adjective,dark,सांवला,saavlaa / geRaa
adjective,difficult,मुश्किल,mushkil
adjective,dirty,गंदा,gandaa
adjective,dry,सूखा,sookaa
adjective,easy,आसान,aasaan
adjective,empty,खाली,kaalee
adjective,expensive,महँगा,mehengaa
adjective,fast,तेज़,teyz
adjective,foreign,विदेशी,videyshee
adjective,full,पूरा / सारा,pooRaa / saaRaa
adjective,good,अच्छा,at-chaa
adjective,hard (firm),सख़्त,sakt
adjective,heavy,भारी,baaRee
adjective,inexpensive,सस्ता,sastaa
adjective,light (illumination),लाइट,laayt
adjective,light (weight),हलका,halkaa
adjective,local,स्थानीय,staaneeya
adjective,new,नया,naayaa
adjective,noisy,बहुत आवाज़,bahut aavaaz
adjective,old (about things),पुरानी चीज़ें,pooRaanee cheezey
adjective,old (about people),बूढ़े लोग,booRey log
adjective,powerful,शक्तिशाली,shaktee shaalee
adjective,quiet (person),चुप,chup
adjective,right / correct,सही / ठीक,sahee / teek
adjective,slow,धीरे,deeRey
adjective,soft,नरम,halkaa
adjective,very,बहुत,bahut
adjective,weak,कमज़ोर,kamzoR
adjective,wet,गीला,geelaa
adjective,wrong / incorrect,गलत / ठीक नही,galat / teek nahee
adjective,young,जवान,javaan
adjective,few / little,थोडे / थोडा,toRey / toRaa
adjective,many / much,बहुत / ज़्यादा,bahut / ziyaadaa
adjective,part,हिसा,hisaa
adjective,some / a few,थोडे से / थोडे,toRey / toReysey
adjective,whole,पूरा,pooRaa
